display_name_en,display_name_fr,category,acronym_en,acronym_fr,landing_page_template,parent_institution
Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Ministerial Department,AAFC,AAC,Institutional landing page,
Canadian Heritage,Patrimoine canadien,Ministerial Department,PCH,PCH,Institutional landing page,
Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,Ministerial Department,CIRNAC,RCAANC,Institutional landing page,
Defence Investment Agency,Agence Investissement Défense,Department Agency,DIA,AID,Institutional landing page,PSPC
"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",Ministerial Department,IRCC,IRCC,Institutional landing page,
Employment and Social Development Canada,Emploi et Développement social Canada,Ministerial Department,ESDC,EDSC,Institutional landing page,
Department of Finance Canada,Ministère des Finances Canada,Ministerial Department,FIN,FIN,Institutional landing page,
Fisheries and Oceans Canada,Pêches et Océans Canada,Ministerial Department,DFO,MPO,Institutional landing page,
Global Affairs Canada,Affaires mondiales Canada,Ministerial Department,GAC,AMC,Institutional landing page,
Health Canada,Santé Canada,Ministerial Department,HC,SC,Institutional landing page,
Indigenous Services Canada,Services aux Autochtones Canada,Ministerial Department,ISC,SAC,Institutional landing page,
"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Ministerial Department,ISED,ISDE,Institutional landing page,
Department of Justice Canada,Ministère de la Justice Canada,Ministerial Department,JUS,JUS,Institutional landing page,
National Defence,Défense nationale,Ministerial Department,DND,MDN,Institutional landing page,
Natural Resources Canada,Ressources naturelles Canada,Ministerial Department,NRCan,RNCan,Institutional landing page,
Public Safety Canada,Sécurité publique Canada,Ministerial Department,PS,SP,Institutional landing page,
Public Services and Procurement Canada,Services publics et Approvisionnement Canada,Ministerial Department,PSPC,SPAC,Institutional landing page,
Environment and Climate Change Canada,Environnement et Changement climatique Canada,Ministerial Department,ECCC,ECCC,Institutional landing page,
Transport Canada,Transports Canada,Ministerial Department,TC,TC,Institutional landing page,
Veterans Affairs Canada,Anciens Combattants Canada,Ministerial Department,VAC,ACC,Institutional landing page,
Western Economic Diversification Canada,Diversification de l’économie de l’Ouest Canada,Ministerial Department,WD,DEO,Institutional landing page,ISED
